,gene_name,dataset
536,Adipor1,old_10X_cruk_changed_buffer
537,Platr1,old_10X_cruk_changed_buffer
538,Klhl12,old_10X_cruk_changed_buffer
539,Rabif,old_10X_cruk_changed_buffer
540,Kdm5b,old_10X_cruk_changed_buffer
541,Ppp1r12b,old_10X_cruk_changed_buffer
542,Ube2t,old_10X_cruk_changed_buffer
543,Ptpn7,old_10X_cruk_changed_buffer
544,Arl8a,old_10X_cruk_changed_buffer
545,Gm15445,old_10X_cruk_changed_buffer
546,Elf3,old_10X_cruk_changed_buffer
547,Rnpep,old_10X_cruk_changed_buffer
548,Timm17a,old_10X_cruk_changed_buffer
549,Ipo9,old_10X_cruk_changed_buffer
550,Nav1,old_10X_cruk_changed_buffer
551,Csrp1,old_10X_cruk_changed_buffer
552,Lad1,old_10X_cruk_changed_buffer
553,Tnnt2,old_10X_cruk_changed_buffer
554,Tmem9,old_10X_cruk_changed_buffer
555,Kif21b,old_10X_cruk_changed_buffer
556,Camsap2,old_10X_cruk_changed_buffer
557,9230116N13Rik,old_10X_cruk_changed_buffer
558,Ddx59,old_10X_cruk_changed_buffer
559,Gm37799,old_10X_cruk_changed_buffer
560,Zfp281,old_10X_cruk_changed_buffer
561,Gm19705,old_10X_cruk_changed_buffer
562,Platr22,old_10X_cruk_changed_buffer
563,Nr5a2,old_10X_cruk_changed_buffer
564,Gm4258,old_10X_cruk_changed_buffer
565,Ptprc,old_10X_cruk_changed_buffer
566,Nek7,old_10X_cruk_changed_buffer
567,2310009B15Rik,old_10X_cruk_changed_buffer
568,Dennd1b,old_10X_cruk_changed_buffer
569,Zbtb41,old_10X_cruk_changed_buffer
570,F13b,old_10X_cruk_changed_buffer
571,Cfhr1,old_10X_cruk_changed_buffer
572,Gm4788,old_10X_cruk_changed_buffer
573,Cfhr2,old_10X_cruk_changed_buffer
